tt0020166;nm0417829
tt0020182;nm0323037
tt0020182;nm0060715
tt0020193;nm0956834
tt0020193;nm0871226
tt0020197;nm0454597
tt0020197;nm0042553
tt0020198;nm0300615
tt0020217;nm0233390
tt0020223;nm0182537
tt0020223;nm0001485
tt0020228;nm0350786
tt0020230;nm0467507
tt0020230;nm0415991
tt0020230;nm0811868
tt0020230;nm0314046
tt0020230;nm0955567
tt0020230;nm0476802
tt0020232;nm0631705
tt0020232;nm0314046
tt0020232;nm0616576
tt0020232;nm0328964
tt0020238;nm0482121
tt0020238;nm0642063
tt0020238;nm0049055
tt0020247;nm0637789
tt0020247;nm0242642
tt0020253;nm0417644
tt0020269;nm0938923
tt0020269;nm0336660
tt0020269;nm2544110
tt0020286;nm0097882
tt0020293;nm0795500
tt0020305;nm0001479
tt0020305;nm0517389
tt0020305;nm0237708
tt0020320;nm0141741
tt0020332;nm0023147
tt0020332;nm0497186
tt0020335;nm0268190
tt0020336;nm0497344
tt0020344;nm0902746
tt0020344;nm0195208
tt0020358;nm0485494
tt0020358;nm0447125
tt0020359;nm0124878
tt0020359;nm0007214
tt0020359;nm0151377
tt0020359;nm0174049
tt0020359;nm0275297
tt0020359;nm0417829
tt0020364;nm0001966
tt0020364;nm0355671
tt0020388;nm0781502
tt0020392;nm0615014
tt0020392;nm0615025
tt0020392;nm2098978
tt0020402;nm0604709
tt0020402;nm0478851
tt0020402;nm0275297
tt0020403;nm0035467
tt0020403;nm0000802
tt0020403;nm0087434
tt0020403;nm0049055
tt0020405;nm0819492
tt0020425;nm0214984
tt0020425;nm0748979
tt0020425;nm0599910
tt0020425;nm0823597
tt0020431;nm0885549
tt0020442;nm0780941
tt0020446;nm0638560
tt0020446;nm0949835
tt0020446;nm0001485
tt0020451;nm0795500
tt0020458;nm0366002
tt0020461;nm0533290
tt0020461;nm0384202
tt0020461;nm0253158
tt0020466;nm0268190
tt0020466;nm0310980
tt0020466;nm0113865
tt0020466;nm0925175
tt0020475;nm0000315
tt0020475;nm0773525
tt0020479;nm0429923
tt0020479;nm0912066
tt0020480;nm0482121
tt0020480;nm0720885
tt0020480;nm0167407
tt0020480;nm0824330
tt0020480;nm0087434
tt0020488;nm0587725
tt0020488;nm0233390
tt0020488;nm0599910
tt0020490;nm0195888
tt0020490;nm0161451
tt0020490;nm0204113
tt0020490;nm0068471
tt0020492;nm0587725
tt0020492;nm0203384
tt0020499;nm0942039
tt0020502;nm0171873
tt0020510;nm0583925
tt0020510;nm0467557
tt0020510;nm0793548
tt0020510;nm0622406
tt0020510;nm0409960
tt0020514;nm0358723
tt0020514;nm0358724
tt0020514;nm0017044
tt0020514;nm0000034
tt0020516;nm0233390
tt0020516;nm0352495
tt0020534;nm0780941
tt0020538;nm0855969
tt0020538;nm0637789
tt0020538;nm0497344
tt0020538;nm0599910
tt0020542;nm0637789
tt0020542;nm0884964
tt0020542;nm0087434
tt0020543;nm0161451
tt0020556;nm0000011
tt0020556;nm0047720
tt0020563;nm0753479
tt0020563;nm1273452
tt0020563;nm0950811
tt0020563;nm1280360
tt0020563;nm0385443
tt0020563;nm0756870
tt0020570;nm0726166
tt0020572;nm0840316
tt0020581;nm0892473
tt0020585;nm0824330
tt0020589;nm0001256
tt0020590;nm0233467
tt0020590;nm0001966
tt0020590;nm0174049
tt0020590;nm0206496
tt0020590;nm0392004
tt0020590;nm0641336
tt0020608;nm0375609
tt0020613;nm0060012
tt0020613;nm0495285
tt0020613;nm0007220
tt0020620;nm0358723
tt0020620;nm0358724
tt0020620;nm0580916
tt0020629;nm0018273
tt0020629;nm0329467
tt0020629;nm0204113
tt0020629;nm0018685
tt0020629;nm0322345
tt0020629;nm0464131
tt0020629;nm0049055
tt0020640;nm0744917
tt0020640;nm0555688
tt0020641;nm0001256
tt0020642;nm0001256
tt0020656;nm0102609
tt0020656;nm0663077
tt0020656;nm0372020
tt0020661;nm0936728
tt0020668;nm0606431
tt0020668;nm0580916
tt0020668;nm0049055
tt0020670;nm0437386
tt0020673;nm0023147
tt0020673;nm0949835
tt0020673;nm0285391
tt0020686;nm0606431
tt0020686;nm0599910
tt0020690;nm0001055
tt0020691;nm0738426
tt0020691;nm0161451
tt0020693;nm0065183
tt0020693;nm0065184
tt0020695;nm0638560
tt0020697;nm0000017
tt0020697;nm0077175
tt0020697;nm0890131
tt0020701;nm0037760
tt0020702;nm0654102
tt0020702;nm0007214
tt0020702;nm0153772
tt0020702;nm0113865
tt0020702;nm0161451
tt0020702;nm0405220
tt0020713;nm0637789
tt0020713;nm0183918
tt0020713;nm0615014
tt0020713;nm0615025
tt0020713;nm2098978
tt0020724;nm0429923
tt0020724;nm0394477
tt0020740;nm0023147
tt0020740;nm0942039
tt0020754;nm0930776
tt0020754;nm0172875
tt0020758;nm0478996
tt0020758;nm0138999
tt0020763;nm0939813
tt0020768;nm0794297
tt0020768;nm0268190
tt0020768;nm0018685
tt0020785;nm0533290
tt0020785;nm0478996
tt0020793;nm0054689
tt0020799;nm0497186
tt0020799;nm0167407
tt0020814;nm0233431
tt0020815;nm0417829
tt0020821;nm0949835
tt0020821;nm0001485
tt0020823;nm0007216
tt0020823;nm0392004
tt0020827;nm0606431
tt0020827;nm0253158
tt0020827;nm0587725
tt0020827;nm0939813
tt0020827;nm0233390
tt0020827;nm0599910
tt0020828;nm0497186
tt0020828;nm0550877
tt0020836;nm0558629
tt0020836;nm0417824
tt0020838;nm0245304
tt0020838;nm0815433
tt0020838;nm0251755
tt0020842;nm0004464
tt0020842;nm0367613
tt0020842;nm0295992
tt0020852;nm0122296
tt0020852;nm0519274
tt0020852;nm0114768
tt0020866;nm0160685
tt0020866;nm0497344
tt0020866;nm0172875
tt0020869;nm0164883
tt0020873;nm0001479
tt0020873;nm0823633
tt0020873;nm0404211
tt0020873;nm0905622
tt0020873;nm0153772
tt0020873;nm0394244
tt0020875;nm0000012
tt0020876;nm0079008
tt0020890;nm0124236
tt0020890;nm0104238
tt0020890;nm0042553
tt0020891;nm0521937
tt0020891;nm0153772
tt0020894;nm0736777
tt0020894;nm0454597
tt0020894;nm0497810
tt0020894;nm0007216
tt0020894;nm0865298
tt0020894;nm0641952
tt0020896;nm0290215
tt0020896;nm0464131
tt0020900;nm0000034
tt0020902;nm0780941
tt0020902;nm0497344
tt0020902;nm0599910
tt0020919;nm0124287
tt0020919;nm0169067
tt0020919;nm0417829
tt0020924;nm0497723
tt0020924;nm0613262
tt0020926;nm0426710
tt0020926;nm0126410
tt0020926;nm0702947
tt0020929;nm0485439
tt0020929;nm0492557
tt0020929;nm0802325
tt0020929;nm0810000
tt0020938;nm0285391
tt0020945;nm0497186
tt0020949;nm0268190
tt0020949;nm0310980
tt0020949;nm0925175
tt0020949;nm0260020
tt0020959;nm0390710
tt0020959;nm0892473
tt0020966;nm0878546
tt0020966;nm0392004
tt0020966;nm0007220
tt0020966;nm0865298
tt0020980;nm0753479
tt0020980;nm0442886
tt0020980;nm1273452
tt0020985;nm0362267
tt0020985;nm0000802
tt0020985;nm0654530
tt0020985;nm0000034
tt0020987;nm0497186
tt0021001;nm0285391
tt0021013;nm0124236
tt0021013;nm0166972
tt0021013;nm0010468
tt0021013;nm0459801
tt0021016;nm0007214
tt0021016;nm0308249
tt0021016;nm0925175
tt0021025;nm0924902
tt0021025;nm0517389
tt0021025;nm0186856
tt0021025;nm0478851
tt0021025;nm0810000
tt0021042;nm0285391
tt0021044;nm0492463
tt0021048;nm0066024
tt0021048;nm0633260
tt0021048;nm0000802
tt0021053;nm0007216
tt0021060;nm0352495
tt0021060;nm0251755
tt0021061;nm0627789
tt0021061;nm0355671
tt0021061;nm0290215
tt0021061;nm0042553
tt0021069;nm0217835
tt0021069;nm0926004
tt0021069;nm0203384
tt0021070;nm0047720
tt0021074;nm0794297
tt0021074;nm0268190
tt0021074;nm0387556
tt0021079;nm0831889
tt0021079;nm0268225
tt0021079;nm0171873
tt0021087;nm0637789
tt0021087;nm0183918
tt0021087;nm0949835
tt0021090;nm0435709
tt0021090;nm0497344
tt0021090;nm0793477
tt0021092;nm0587725
tt0021092;nm0633260
tt0021092;nm0417829
tt0021094;nm0638560
tt0021094;nm0308249
tt0021100;nm0485226
tt0021100;nm0429923
tt0021100;nm0802325
tt0021100;nm0599910
tt0021102;nm0124236
tt0021102;nm0478996
tt0021106;nm0426710
tt0021106;nm0744917
tt0021106;nm0805701
tt0021110;nm0602914
tt0021121;nm0001055
tt0021121;nm0671747
tt0021128;nm0333676
tt0021132;nm0253158
tt0021132;nm0126410
tt0021133;nm0355671
tt0021133;nm0000910
tt0021133;nm0497723
tt0021134;nm0125432
tt0021134;nm0831889
tt0021140;nm0007214
tt0021140;nm0656304
tt0021140;nm0260020
tt0021140;nm0405220
tt0021148;nm0226858
tt0021148;nm0429923
tt0021148;nm0394477
tt0021149;nm0000910
tt0021152;nm0780941
tt0021152;nm0007220
tt0021156;nm0000011
tt0021156;nm0000017
tt0021165;nm0152361
tt0021165;nm0550912
tt0021165;nm0054689
tt0021165;nm0042496
tt0021189;nm0352495
tt0021189;nm0823597
tt0021189;nm0000034
tt0021191;nm0290215
tt0021197;nm0000951
tt0021217;nm0502571
tt0021217;nm0209462
tt0021223;nm0780941
tt0021223;nm0497344
tt0021223;nm0805701
tt0021223;nm0233390
tt0021223;nm0352495
tt0021223;nm0599910
tt0021224;nm0634322
tt0021225;nm0151377
tt0021228;nm0497344
tt0021228;nm0049055
tt0021239;nm0240124
tt0021239;nm0517389
tt0021239;nm0057385
